LFPR,unemployment_rate,salary_expectation
53.96,27.99,49732
55.91,13.72,11265
43.24,29.56,6685
33.69,27.02,7433
31.13,25.07,33693
38.21,28.07,32480
36.18,29.63,7747
48.99,12.95,5189
49.47,22.44,6267
49.77,31.46,16394
45.51,28.83,26777
66.47,30.66,48323
32.48,32.95,28483
35.66,24.24,22159
47.35,34.65,16653
38.24,26.56,45757
55.8,16.64,37606
49.66,24.91,34127
60.84,24.57,29276
49.66,27.31,13529
66.96,20.68,44099
44.28,23.14,44976
32.47,23.31,7568
51.17,31.97,7027
45.71,20.27,17666
34.22,23.19,31854
63.5,17.32,18067
31.93,15.48,28599
47.98,17.94,24115
51.13,18.75,29538
67.15,18.91,32266
54.82,19.14,38270
37.68,21.93,26518
35.33,35.13,28419
37.26,27.16,23141
26.18,22.08,11374
28.86,36.96,21198
36.69,31.96,27299
62.11,25.83,8627
50.5,18.66,47941
64.88,26.74,49262
55.2,24.35,35080
56.54,19.22,14474
38.21,13.07,26959
42.77,14.38,18545
48.13,29.89,39766
44.74,17.03,44353
60.87,13.86,49417
51.93,12.48,31736
61.3,16.91,5854
29.19,22.96,26556
42.68,25.48,43559
34.43,23.32,49215
45.13,28.46,30342
61.5,16.73,28509
44.07,22.8,20087
37.25,23.11,20708
57.75,18.76,7811
51.36,18.9,23227
60.22,19.14,23343
42.13,25.24,13155
44.06,29.68,26918
51.8,19.29,36065
57.47,32.11,21371
24.79,33.79,25932
55.01,22.37,12158
53.78,18.53,6154
63.69,28.36,17183
39.42,18.31,7557
66.2,21.21,7200
57.56,36.73,33643
43.37,18.95,28328
48.99,14.34,38986
57.73,21.95,49064
57.09,31.27,22429
45.32,27.12,19373
65.18,15.98,35746
61.84,19.83,37352
33.86,32.47,45764
46.98,32.44,42410
36.39,23.98,48525
43.1,24.38,38828
57.0,17.75,5699
63.59,23.48,5190
30.05,17.1,24778
27.08,17.81,39584
49.9,24.19,41631
44.27,14.33,9014
60.22,19.11,45864
26.1,23.1,17533
56.28,12.24,43754
35.69,14.12,15647
47.05,35.05,9780
43.83,26.74,17039
58.7,15.91,18403
39.37,40.3,15966
36.65,21.6,27677
49.72,22.4,36024
37.67,19.21,24508
46.15,30.33,26606
41.12,24.78,12987
35.98,15.69,42233
55.86,14.95,22214
35.01,18.37,42945
37.2,15.46,21896
45.27,31.32,12805
53.5,24.37,34375
48.63,31.16,13130
60.74,22.54,24128
48.26,13.44,14435
52.23,24.89,48225
54.9,17.55,34222
51.49,19.04,43649
56.48,17.81,37580
32.46,16.35,49690
47.09,13.05,46975
24.12,21.04,43646
60.33,20.92,30471
52.32,19.34,16938
51.3,19.06,9000
40.78,24.96,37320
50.84,28.93,8913
44.44,29.66,8373
22.55,23.26,32122
47.67,24.91,28132
57.35,39.23,14817
36.88,20.52,22209
48.9,16.35,31092
38.44,21.9,43756
54.52,14.84,22506
55.29,15.42,28190
55.92,14.56,49811
60.64,18.11,26352
49.33,23.12,49912
47.6,20.61,5698
41.0,15.04,18923
66.5,30.46,37307
55.2,15.77,10486
34.38,18.25,6167
51.69,20.29,23540
53.17,23.65,42614
26.29,24.35,28625
57.15,26.18,26677
53.03,29.17,44081
26.4,18.77,27556
34.55,31.53,31962
48.41,36.12,31256
60.42,18.47,42080
59.25,25.51,39578
61.31,18.14,43069
47.91,21.96,20485
52.78,32.66,9748
50.23,19.89,18116
46.68,15.17,47918
60.87,13.04,38982
36.33,25.07,28960
60.9,18.31,41395
61.34,21.92,27700
34.21,26.45,30826
48.86,18.03,49472
52.87,34.55,47356
52.91,18.81,8330
40.6,17.78,34703
33.09,19.95,41487
34.33,22.07,9835
57.59,15.38,45080
50.08,13.71,36471
32.88,25.8,39349
59.58,20.37,5009
59.98,21.54,28793
40.34,30.54,32712
46.41,20.38,28833
63.26,31.68,25384
42.06,32.83,45034
38.03,32.44,14860
67.9,13.03,28574
41.52,17.1,43765
45.54,21.25,22100
60.71,21.67,31657
48.74,18.48,12239
52.29,16.0,33538
31.23,17.15,47944
64.3,23.12,47808
45.7,34.51,24198
44.39,33.98,20781
40.52,17.76,44649
49.77,26.12,28386
40.73,15.48,15209
61.51,17.4,9637
40.66,29.66,48088
35.75,23.97,41932
51.4,25.59,19388
39.39,15.7,11254
41.87,23.8,45118
52.93,21.47,47679
50.35,26.0,23271
27.17,32.11,16314
39.23,21.36,26508
22.95,12.44,44749
41.62,13.4,44144
31.86,18.57,31329
48.71,15.43,28624
52.63,19.92,24262
39.32,19.2,9432
60.45,22.7,27195
